Time,Battery,CPU,RAM,Brightness,Charging,Estimated_Seconds_Left,Chrome,VSCode,WhatsApp,OneNote,WPS,Active_App_Count,workload,data_source
SYN_007,27,6.351768842791905,61.45312617612375,23,False,-1,0,1,0,0,1,2,Coding,synthetic
SYN_008,17,13.19612575326818,62.92511113352062,23,False,-1,1,1,1,0,1,4,Mixed,synthetic
SYN_009,17,7.437844091136849,60.67860568339409,23,False,-1,1,0,0,0,1,2,Browsing,synthetic
SYN_010,28,10.013676294827995,57.25750826675534,23,False,-1,1,0,1,0,1,3,Whatsapp,synthetic
SYN_011,22,7.619666123779426,61.69846377833002,23,False,-1,0,1,0,0,1,2,Coding,synthetic
SYN_012,17,12.03183152898997,63.64623150451183,23,False,-1,1,1,1,0,1,4,Mixed,synthetic
SYN_013,21,13.254119002176154,61.09037747542308,23,False,-1,1,0,0,0,1,2,Browsing,synthetic
SYN_014,20,8.365568179380306,58.82396913386325,23,False,-1,1,0,1,0,1,3,Whatsapp,synthetic
SYN_015,25,11.322430731802228,60.72907881351769,23,False,-1,0,1,0,0,1,2,Coding,synthetic
SYN_016,22,8.938796960771901,63.97588918173705,23,False,-1,1,1,1,0,1,4,Mixed,synthetic
SYN_017,26,9.758135428008606,62.5147314024578,23,False,-1,1,0,0,0,1,2,Browsing,synthetic
SYN_018,26,10.9804033076668,58.07502871371109,23,False,-1,1,0,1,0,1,3,Whatsapp,synthetic
SYN_019,24,9.046721491822533,62.207143166922286,23,False,-1,0,1,0,0,1,2,Coding,synthetic
SYN_020,18,12.697283907679736,63.101368604233336,23,False,-1,1,1,1,0,1,4,Mixed,synthetic
SYN_021,22,8.622798496724961,62.64693233875781,23,False,-1,1,0,0,0,1,2,Browsing,synthetic
SYN_022,25,9.600821959106748,57.1944410185608,23,False,-1,1,0,1,0,1,3,Whatsapp,synthetic
SYN_023,19,6.902805379391645,60.48728662315997,23,False,-1,0,1,0,0,1,2,Coding,synthetic
SYN_024,18,8.835422210766891,64.2,23,False,-1,1,1,1,0,1,4,Mixed,synthetic
SYN_025,23,3.6928255709604887,61.19767245502134,23,False,-1,1,0,0,0,1,2,Browsing,synthetic
SYN_026,24,11.865555828398197,58.96683986968928,23,False,-1,1,0,1,0,1,3,Whatsapp,synthetic
SYN_027,21,10.483368087999812,60.37691239162734,23,False,-1,0,1,0,0,1,2,Coding,synthetic
SYN_028,22,13.144939703142883,62.71304351267758,23,False,-1,1,1,1,0,1,4,Mixed,synthetic
SYN_029,26,4.710784191655195,60.00006917899479,23,False,-1,1,0,0,0,1,2,Browsing,synthetic
SYN_030,17,11.64290186013441,58.11363860410584,23,False,-1,1,0,1,0,1,3,Whatsapp,synthetic
SYN_031,23,10.22621338516942,60.2591210304952,23,False,-1,0,1,0,0,1,2,Coding,synthetic
SYN_032,26,12.563975984918342,62.53598019041964,23,False,-1,1,1,1,0,1,4,Mixed,synthetic
SYN_033,21,9.04193809389353,60.707111088400026,23,False,-1,1,0,0,0,1,2,Browsing,synthetic
SYN_034,17,9.445655265004175,57.1,23,False,-1,1,0,1,0,1,3,Whatsapp,synthetic
SYN_035,27,9.717431201963954,60.19589648969591,23,False,-1,0,1,0,0,1,2,Coding,synthetic
SYN_036,23,12.201866647264772,63.66979676404492,23,False,-1,1,1,1,0,1,4,Mixed,synthetic
SYN_037,19,9.563462772431963,61.552271773235866,23,False,-1,1,0,0,0,1,2,Browsing,synthetic
SYN_038,20,10.200704472734005,57.1,23,False,-1,1,0,1,0,1,3,Whatsapp,synthetic
SYN_039,21,4.882218818942282,58.9159505814684,23,False,-1,0,1,0,0,1,2,Coding,synthetic
SYN_040,28,11.999435566808591,61.64178141695991,23,False,-1,1,1,1,0,1,4,Mixed,synthetic
